Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Bastion of Remembrance,IKO,Ikoria: Lair of Behemoths,73,normal,uncommon,2,50004,2dd354dd-939e-4b1a-8ed6-fe89a7fd64bf,0.63,false,false,near_mint,ja,EUR,2025-05-04T18:37:05.636Z
Blossoming Defense,KLD,Kaladesh,146,normal,uncommon,1,7497,5c026c39-b09c-408a-844f-fb5eb785862a,0.51,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
"Circu, Dimir Lobotomist",GK1,GRN Guild Kit,9,normal,rare,1,137,80d88d83-d614-4995-ad3e-7ac062f4a93c,0.39,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Darkblast,GK1,GRN Guild Kit,51,normal,uncommon,2,95,6a01bf1a-5868-4338-bf16-c35437e9bc2f,0.55,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Frozen Aether,PLC,Planar Chaos,54,normal,uncommon,1,26480,e727bb9e-3510-4c8e-ac49-6d7217667a18,0.64,false,false,near_mint,es,EUR,2025-05-04T18:37:05.636Z
Ground Rift,TSP,Time Spiral,162,normal,common,1,26738,62333783-6a18-4461-88ce-1c37eaf64e2b,0.44,false,false,near_mint,es,EUR,2025-05-04T18:37:05.636Z
Hidetsugu and Kairi,MOM,March of the Machine,228,normal,rare,1,81136,81039daf-0d54-4474-a833-fa287ec10cf9,0.22,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
"Jacob Hauken, Inspector // Hauken's Insight",VOW,Innistrad: Crimson Vow,65,normal,mythic,1,64255,6b4529c3-8edb-4909-b910-806450a39d2e,0.45,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
"Katilda, Dawnhart Prime",MID,Innistrad: Midnight Hunt,230,foil,rare,1,63280,673cd775-d417-4652-a91d-825ad5c89e8a,0.78,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Moonveil Regent,MID,Innistrad: Midnight Hunt,149,normal,mythic,1,63516,f9fc55fd-161a-4d77-82f0-27075210e7e7,0.58,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Nature's Claim,WWK,Worldwake,108,normal,common,1,22083,64ae5a91-ac54-4222-832e-d7a740a3f7cb,0.81,false,false,near_mint,es,EUR,2025-05-04T18:37:05.636Z
Sisters of Stone Death,GK1,GRN Guild Kit,71,normal,rare,1,75,785fd04b-5cff-4a73-8376-de3c702ccd62,0.57,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Stolen Identity,GK1,GRN Guild Kit,2,normal,rare,1,144,8838088d-7fbd-4501-b97f-83e08ca376f3,0.23,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Temple of the False God,VOC,Crimson Vow Commander,187,normal,uncommon,1,64600,a2d335ab-9bde-44aa-ae83-0615b5902210,0.14,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Undercover Operative,SNC,Streets of New Capenna,63,normal,rare,1,67744,4ecec953-ab86-409b-b618-04bb07ff3eac,0.15,false,false,near_mint,en,EUR,2025-05-04T18:37:05.636Z
Pelt Collector,GRN,Guilds of Ravnica,141,normal,rare,1,342,bee125cb-12b9-4f78-8e1d-6018d9c52275,0.79,false,false,near_mint,en,EUR,2025-06-20T07:01:58.392Z
